city_name,city_ascii,lat,lng,country_name,country_code,iso3,admin_name,capital,population,id,continent
Winnipeg,Winnipeg,49.8844,-97.1464,Canada,CA,CAN,Manitoba,admin,758515.0,1124224963,North America
Tulsa,Tulsa,36.1283,-95.9042,United States,US,USA,Oklahoma,,740620.0,1840021672,North America
Quebec City,Quebec City,46.8139,-71.2081,Canada,CA,CAN,Quebec,admin,733156.0,1124823933,North America
Hamilton,Hamilton,43.2567,-79.8692,Canada,CA,CAN,Ontario,,729560.0,1124567288,North America
Charleston,Charleston,32.8168,-79.9687,United States,US,USA,South Carolina,,726389.0,1840015163,North America
Fresno,Fresno,36.783,-119.7939,United States,US,USA,California,,724547.0,1840020319,North America
Mississauga,Mississauga,43.6,-79.65,Canada,CA,CAN,Ontario,,717961.0,1124112672,North America
Rochester,Rochester,43.168,-77.6162,United States,US,USA,New York,,694707.0,1840000373,North America
Guadalupe,Guadalupe,25.6775,-100.2597,Mexico,MX,MEX,Nuevo León,minor,691931.0,1484002410,North America
Acapulco de Juárez,Acapulco de Juarez,16.8636,-99.8825,Mexico,MX,MEX,Guerrero,minor,673478.0,1484463183,North America
Dayton,Dayton,39.7805,-84.2003,United States,US,USA,Ohio,,667936.0,1840034249,North America
Tlaquepaque,Tlaquepaque,20.6167,-103.3167,Mexico,MX,MEX,Jalisco,minor,664193.0,1484087945,North America
Brampton,Brampton,43.6833,-79.7667,Canada,CA,CAN,Ontario,,656480.0,1124625989,North America
Cape Coral,Cape Coral,26.6443,-81.9957,United States,US,USA,Florida,,656464.0,1840015130,North America
Durango,Durango,24.025,-104.6675,Mexico,MX,MEX,Durango,admin,654876.0,1484854616,North America
Tlalnepantla,Tlalnepantla,19.5367,-99.1947,Mexico,MX,MEX,México,minor,653410.0,1484861603,North America
Provo,Provo,40.2457,-111.6457,United States,US,USA,Utah,,639820.0,1840020174,North America
Colorado Springs,Colorado Springs,38.8674,-104.7605,United States,US,USA,Colorado,,638421.0,1840018825,North America
Mission Viejo,Mission Viejo,33.6096,-117.6551,United States,US,USA,California,,634674.0,1840020580,North America
Allentown,Allentown,40.5961,-75.4756,United States,US,USA,Pennsylvania,,632175.0,1840001044,North America
Baton Rouge,Baton Rouge,30.442,-91.1311,United States,US,USA,Louisiana,admin,630063.0,1840013941,North America
Ogden,Ogden,41.2279,-111.9682,United States,US,USA,Utah,,623688.0,1840020135,North America
Knoxville,Knoxville,35.9692,-83.9496,United States,US,USA,Tennessee,,618226.0,1840014486,North America
Chimalhuacán,Chimalhuacan,19.4131,-98.9839,Mexico,MX,MEX,México,minor,614453.0,1484504936,North America
Grand Rapids,Grand Rapids,42.9619,-85.6562,United States,US,USA,Michigan,,611480.0,1840002928,North America
Columbia,Columbia,34.0378,-80.9036,United States,US,USA,South Carolina,admin,605083.0,1840014730,North America
Albany,Albany,42.6664,-73.7987,United States,US,USA,New York,admin,602242.0,1840000417,North America
Irapuato,Irapuato,20.6667,-101.35,Mexico,MX,MEX,Guanajuato,minor,592953.0,1484625454,North America
Reynosa,Reynosa,26.0922,-98.2778,Mexico,MX,MEX,Tamaulipas,minor,589466.0,1484737671,North America
Tuxtla,Tuxtla,16.7528,-93.1167,Mexico,MX,MEX,Chiapas,admin,578830.0,1484832519,North America
Bakersfield,Bakersfield,35.3529,-119.0359,United States,US,USA,California,,578542.0,1840019148,North America
Tonalá,Tonala,20.6167,-103.2333,Mexico,MX,MEX,Jalisco,minor,569913.0,1484750897,North America
Surrey,Surrey,49.19,-122.8489,Canada,CA,CAN,British Columbia,,568322.0,1124001454,North America
New Haven,New Haven,41.3113,-72.9246,United States,US,USA,Connecticut,,565056.0,1840004850,North America
Des Moines,Des Moines,41.5725,-93.6105,United States,US,USA,Iowa,admin,560170.0,1840007069,North America
Ensenada,Ensenada,31.8578,-116.6058,Mexico,MX,MEX,Baja California,minor,557430.0,1484714297,North America
Palm Bay,Palm Bay,27.9631,-80.6593,United States,US,USA,Florida,,547659.0,1840015094,North America
Ixtapaluca,Ixtapaluca,19.3186,-98.8822,Mexico,MX,MEX,México,minor,542211.0,1484452937,North America
Heroica Matamoros,Heroica Matamoros,25.8797,-97.5042,Mexico,MX,MEX,Tamaulipas,minor,541979.0,1484614906,North America
Akron,Akron,41.0798,-81.5219,United States,US,USA,Ohio,,538659.0,1840000791,North America
Concord,Concord,37.9722,-122.0016,United States,US,USA,California,,525233.0,1840018905,North America
Ciudad Apodaca,Ciudad Apodaca,25.7817,-100.1886,Mexico,MX,MEX,Nuevo León,minor,523370.0,1484855080,North America
Kitchener,Kitchener,43.4186,-80.4728,Canada,CA,CAN,Ontario,,522888.0,1124158530,North America
Tultitlán de Mariano Escobedo,Tultitlan de Mariano Escobedo,19.645,-99.1694,Mexico,MX,MEX,México,minor,520557.0,1484562374,North America
Mesa,Mesa,33.4015,-111.7178,United States,US,USA,Arizona,,507478.0,1840020566,North America
Wichita,Wichita,37.6895,-97.3443,United States,US,USA,Kansas,,501760.0,1840001686,North America
